"","x"
"1",63.6
"2",62.77
"3",63
"4",62.62
"5",62.62
"6",62.1
"7",61.06
"8",62.91
"9",63.4
"10",62.5
"11",62.71
"12",62.6
"13",61.37
"14",62.49
"15",64.42
"16",65.1
"17",65.1
"18",64.65
"19",64.65
"20",64.9
"21",65.1
"22",65.1
"23",64.79
"24",64.85
"25",63.82
"26",63.82
"27",63.51
"28",63.86
"29",65.45
"30",65.01
"31",65
"32",66.93
"33",66.01
"34",67
"35",66.93
"36",68.02
"37",68.68
"38",68.7
"39",69.59
"40",69.47
"41",69.4
"42",69.9
"43",69.64
"44",68.2
"45",69.2
"46",69.91
"47",70.8
"48",73.3
"49",73.25
"50",72.2
"51",71.93
"52",72.59
"53",72.04
"54",71.2
"55",71.81
"56",71.37
"57",72.44
"58",72.1
"59",71.72
"60",71.44
"61",71.77
"62",71.14
"63",71.4
"64",70.03
"65",70.47
"66",70.05
"67",70.5
"68",71.1
"69",71.25
"70",71.41
"71",71.8
"72",72.58
"73",71.5
"74",72
"75",69.9
"76",69.75
"77",70.11
"78",71.15
"79",72.9
"80",73.3
"81",72.7
"82",73.69
"83",73.51
"84",74.5
"85",75.7
"86",77.05
"87",77.46
"88",77.12
"89",76.71
"90",77.78
"91",78.45
"92",77.4
"93",77.7
"94",76.8
"95",77.29
"96",78.2
"97",78
"98",78.22
"99",77.77
"100",77.9
"101",77.43
"102",77.55
"103",77.4
"104",76.65
"105",76.11
"106",76.27
"107",77.02
"108",77.4
"109",78.4
"110",78.91
"111",79.38
"112",79.18
"113",79.5
"114",79.65
"115",80.12
"116",80.1
"117",82.84
"118",82.82
"119",83.27
"120",83.23
"121",86.53
"122",86.21
"123",84.15
"124",85.71
"125",85.76
"126",86.17
"127",88
"128",87.79
"129",87.9
"130",87.3
"131",88.4
"132",87.55
"133",87.58
"134",88.85
"135",89.5
"136",89.9
"137",88.46
"138",88.05
"139",85.45
"140",83.78
"141",82.81
"142",82.81
"143",83.7
"144",84.76
"145",84
"146",83.5
"147",84.16
"148",85.55
"149",84.95
"150",83.35
"151",80.9
"152",81.6
"153",79.8
"154",80.74
"155",82.16
"156",82.9
"157",82.48
"158",81.9
"159",80.99
"160",80.15
"161",80.62
"162",80
"163",80
"164",82.35
"165",80.18
"166",81
"167",80.31
"168",81.3
"169",80.85
"170",81.44
"171",82.76
"172",82.65
"173",83.5
"174",84.3
"175",84.1
"176",83.63
"177",84
"178",83.74
"179",82.84
"180",82.26
"181",82.36
"182",81.9
"183",81.07
"184",78.9
"185",78.5
"186",78.7
"187",78.9
"188",77.3
"189",77
"190",76.8
"191",75.21
"192",76.8
"193",75.9
"194",76.94
"195",77.55
"196",77.51
"197",76.81
"198",75.27
"199",75.84
"200",75.6
"201",76.5
"202",77.16
"203",78.36
"204",78.4
"205",78.5
"206",78.68
"207",78.17
"208",77
"209",77.8
"210",78.36
"211",79.1
"212",80.5
"213",81.94
"214",82.15
"215",81.54
"216",81.54
"217",81.77
"218",82.91
"219",82.83
"220",82
"221",83
"222",83.38
"223",83.5
"224",78.48
"225",79.99
"226",78.43
"227",78.31
"228",78.25
"229",78.98
"230",77.46
"231",76.25
"232",77.61
"233",77.61
"234",78.95
"235",79.25
"236",79.5
"237",79.79
"238",79.3
"239",79.6
"240",81.15
"241",82.38
"242",81.75
"243",81.96
"244",81.9
"245",81.9
"246",82.75
"247",81.52
"248",81.5
"249",80.98
"250",80.74
"251",81.13
"252",81
"253",81.39
"254",83
"255",84.91
"256",84.33
"257",84.33
"258",82.94
"259",82
"260",80.24
"261",80.42
"262",80.04
"263",79.81
"264",80.42
"265",80
"266",82.01
"267",81.9
"268",81.01
"269",79.06
"270",79.55
"271",77.77
"272",77.61
"273",77
"274",77.76
"275",77.8
"276",78.5
"277",79
"278",79.24
"279",79.25
"280",78.4
"281",79.33
"282",80.42
"283",78.18
"284",78.54
"285",81.8
"286",82.01
"287",81.18
"288",80.3
"289",80.64
"290",81.62
"291",80.64
"292",80.26
"293",79.02
"294",78.81
"295",77.43
"296",77.95
"297",78.31
"298",76.95
"299",78
"300",79.1
"301",77.44
"302",79.15
"303",79.6
"304",80
"305",78
"306",79.89
"307",80
"308",79.61
"309",80.1
"310",80.6
"311",81.98
"312",80.8
"313",81.3
"314",81.55
"315",81.11
"316",80.84
"317",80.3
"318",80.3
"319",80.5
"320",81.61
"321",82.75
"322",81.44
"323",81.41
"324",80.7
"325",79.15
"326",79.65
"327",80
"328",79.86
"329",80.74
"330",81.71
"331",82.72
"332",83.71
"333",85.4
"334",85.55
"335",86.54
"336",86.07
"337",85.66
"338",87.1
"339",88.45
"340",87.45
"341",88
"342",88.72
"343",87.74
"344",87.1
"345",87.1
"346",88.2
"347",88.42
"348",88.51
"349",88.37
"350",89.56
"351",90.52
"352",89.87
"353",92.28
"354",92.86
"355",92.63
"356",91.56
"357",92.35
"358",93.79
"359",95
"360",95.8
"361",96.8
"362",95.81
"363",95.5
"364",93.07
"365",91.8
"366",92.45
"367",93.6
"368",93.37
"369",92.8
"370",93.42
"371",95.36
"372",93.44
"373",90
"374",88.7
"375",87.09
"376",88.96
"377",91.05
"378",90.6
"379",92.43
"380",93.5
"381",92.78
"382",91.12
"383",91.7
"384",92.81
"385",93.91
"386",92.82
"387",93.48
"388",95.08
"389",96.06
"390",97.9
"391",97.48
"392",96.92
"393",94.4
"394",95.31
"395",95.5
"396",94.63
"397",94.85
"398",95.22
"399",93.78
"400",94.27
"401",94.35
"402",94.35
"403",94.35
"404",95.54
"405",95.6
"406",96
"407",96
"408",96.44
"409",95
"410",98.24
"411",98.16
"412",100.57
"413",99.05
"414",100.04
"415",98.33
"416",96.5
"417",93.99
"418",95.1
"419",94.7
"420",93.3
"421",92.81
"422",83.2
"423",83.01
"424",80
"425",83.6
"426",82
"427",83
"428",83.97
"429",83.39
"430",83.01
"431",83.09
"432",83.95
"433",82.04
"434",84.63
"435",85.31
"436",83.99
"437",86.04
"438",87.32
"439",88.88
"440",87.4
"441",86.78
"442",87.33
"443",87.2
"444",85.91
"445",81.1
"446",80.91
"447",80.85
"448",80.5
"449",80.3
"450",81
"451",79.87
"452",78.53
"453",78.7
"454",78.12
"455",78.38
"456",77.94
"457",79.3
"458",80.73
"459",79.64
"460",79.09
"461",76.6
"462",78.15
"463",78.26
"464",76.61
"465",76.01
"466",76.01
"467",77.4
"468",76.3
"469",76.44
"470",78.26
"471",78
"472",77.96
"473",80.35
"474",81.2
"475",81.28
"476",81.8
"477",80.91
