Category: All categories

Month,microsoft: (Worldwide)
2004-01,92
2004-02,99
2004-03,85
2004-04,85
2004-05,100
2004-06,83
2004-07,81
2004-08,82
2004-09,85
2004-10,83
2004-11,81
2004-12,78
2005-01,86
2005-02,88
2005-03,82
2005-04,78
2005-05,77
2005-06,76
2005-07,74
2005-08,84
2005-09,78
2005-10,78
2005-11,75
2005-12,76
2006-01,79
2006-02,76
2006-03,74
2006-04,66
2006-05,66
2006-06,68
2006-07,62
2006-08,66
2006-09,69
2006-10,68
2006-11,72
2006-12,68
2007-01,73
2007-02,73
2007-03,67
2007-04,63
2007-05,60
2007-06,59
2007-07,57
2007-08,58
2007-09,61
2007-10,62
2007-11,60
2007-12,58
2008-01,60
2008-02,61
2008-03,59
2008-04,58
2008-05,56
2008-06,53
2008-07,52
2008-08,52
2008-09,57
2008-10,56
2008-11,54
2008-12,55
2009-01,59
2009-02,56
2009-03,57
2009-04,55
2009-05,52
2009-06,52
2009-07,50
2009-08,50
2009-09,56
2009-10,61
2009-11,59
2009-12,54
2010-01,57
2010-02,56
2010-03,55
2010-04,53
2010-05,51
2010-06,50
2010-07,44
2010-08,47
2010-09,51
2010-10,50
2010-11,49
2010-12,46
2011-01,47
2011-02,48
2011-03,45
2011-04,44
2011-05,43
2011-06,41
2011-07,38
2011-08,39
2011-09,41
2011-10,41
2011-11,40
2011-12,37
2012-01,38
2012-02,38
2012-03,38
2012-04,35
2012-05,35
2012-06,37
2012-07,34
2012-08,36
2012-09,38
2012-10,42
2012-11,42
2012-12,36
2013-01,39
2013-02,39
2013-03,37
2013-04,35
2013-05,33
2013-06,32
2013-07,32
2013-08,33
2013-09,37
2013-10,37
2013-11,37
2013-12,34
2014-01,34
2014-02,35
2014-03,33
2014-04,34
2014-05,31
2014-06,30
2014-07,29
2014-08,31
2014-09,35
2014-10,33
2014-11,34
2014-12,32
2015-01,33
2015-02,33
2015-03,32
2015-04,31
2015-05,31
2015-06,31
2015-07,31
2015-08,33
2015-09,34
2015-10,35
2015-11,32
2015-12,32
2016-01,27
2016-02,27
2016-03,26
2016-04,25
2016-05,24
2016-06,24
2016-07,22
2016-08,24
2016-09,26
2016-10,26
2016-11,26
2016-12,24
2017-01,24
2017-02,24
2017-03,24
2017-04,22
2017-05,23
2017-06,21
2017-07,20
2017-08,22
2017-09,23
2017-10,23
2017-11,24
2017-12,21
2018-01,23
2018-02,22
2018-03,22
2018-04,21
2018-05,21
2018-06,20
2018-07,20
2018-08,21
2018-09,16
